week,word,pos,clue
Week 1,disincline,verb,使不願意 / 使不傾向於
Week 1,goodman,noun,古德曼 / 男主人 / 丈夫
Week 1,half-breed,noun,混血兒 / 雜種
Week 1,law-abiding,adjective,守法的 / 奉公守法的
Week 1,plantation,noun,種植園 / 農園
Week 2,preach,verb,講道 / 傳道 / 說教 / 訓誡 / 說大道理 / 嘮叨地勸說
Week 2,squalid,adjective,骯髒不堪的 / 污穢不堪的 / 髒亂貧困的
Week 2,storytelling,noun,說故事 / 講故事 / 敘事 / 敘事技巧
Week 2,straight-backed,adjective,背挺直的 / 腰桿筆直的 / 直背的
Week 2,taskmaster,noun,監工 / 嚴厲的主管 / 苛刻的上司 / 嚴師
Week 3,unfounded,adjective,毫無根據的 / 無根據的 / 沒有根據的
Week 3,acolyte,noun,侍祭 / 祭壇侍者 / 助手 / 追隨者 / 門徒
Week 3,aristocracy,noun,貴族階級 / 貴族 / 上流階級 / 菁英階層 / 精英群體
Week 3,coffer,noun,保險箱 / 金庫 / 財箱 / 錢箱 / 資金 / 國庫 / 財庫
Week 3,desktop,noun,桌上型電腦 / 桌機 / 桌面
Week 4,gossip,noun,八卦 / 閒話 / 流言蜚語 / 愛說八卦的人 / 八卦／閒話
Week 4,gullible,adjective,容易受騙的 / 輕信的 / 好騙的
Week 4,hesitant,adjective,猶豫的 / 遲疑的 / 踟躕的
Week 4,indispensable,adjective,不可或缺的 / 必不可少的 / 必要的 / 非常有用的
Week 4,pantry,noun,食品儲藏室 / 食物儲藏室 / 餐具儲藏間 / 儲藏櫃
Week 5,patronage,noun,光顧 / 惠顧 / 贊助 / 支持 / 關照 / 庇護 / 恩庇 / 光顧／惠顧 / 贊助／支持／關照／庇護
Week 5,amenable,adjective,願意配合的 / 願意接受的 / 順從的 / 適合……的 / 易於接受……的 / 可受……影響的
Week 5,bureaucratic,adjective,官僚的 / 官僚作風的 / 繁文縟節的
Week 5,canal,noun,運河 / 渠道 / 管道
Week 5,lineage,noun,血統 / 家系 / 世系 / 族譜系統／家族傳承
Week 6,overseer,noun,監工 / 監督者 / 主管 / 種植園監工 / 監工／監督者
Week 6,persuasive,adjective,有說服力的 / 很能說服人的 / 令人信服的
Week 6,refurbish,verb,整修 / 翻新 / 整新
Week 6,ruddy,adjective,紅潤的 / 氣色很好的 / 紅紅的 / 略帶紅色的
Week 6,scribe,noun,抄寫員 / 文書 / 文士 / 文士、文書
Week 7,ale,noun,艾爾啤酒 / 啤酒 / 麥酒
Week 7,hereditary,adjective,遺傳的 / 世襲的
Week 7,infallible,adjective,絕不會錯的 / 絕無錯誤的 / 萬無一失的 / 不會失手的
Week 7,inquisitor,noun,審問者 / 調查官 / 審判官 / 盤問者
Week 7,mistress,noun,情婦 / 女主人 / 女教師 / 校長
Week 8,nobility,noun,貴族階級 / 貴族 / 高貴品格 / 高尚 / 高尚氣節
Week 8,obsidian,noun,黑曜石
Week 8,tabletop,noun,桌面 / 桌板 / 桌上型平台／桌面式平台
Week 8,assassination,noun,暗殺 / 行刺 / 刺殺
Week 8,mare,noun,母馬 / 夢魘 / 惡夢、夢魘
Week 9,openness,noun,坦率 / 坦誠 / 開放性 / 開明 / 坦率／坦誠 / 開放性／開明態度
Week 9,sanity,noun,理智 / 神智正常 / 心智健全
Week 9,soberly,adverb,冷靜地 / 沉著地 / 嚴肅地 / 樸素地
Week 9,thieve,verb,偷竊 / 偷 / 行竊
Week 9,thrive,verb,茁壯成長 / 茁壯 / 興旺 / 蓬勃發展 / 繁盛
Week 10,unresponsive,adjective,沒有反應的 / 無反應的 / 反應冷淡的 / 冷漠的 / 不回應的 / 沒有反應的 / 無反應的 / 反應冷淡的 / 冷漠的
Week 10,breastplate,noun,胸甲 / 胸鎧
Week 10,coincidentally,adverb,巧合地 / 碰巧 / 說也巧
Week 10,conservatory,noun,溫室 / 玻璃花房 / 日光室 / 音樂學院 / 藝術學院 / 戲劇學院
Week 10,flurry,noun,一陣 / 一陣忙亂 / 一陣騷動 / 陣雪 / 雪花紛飛 / 一陣 / 一陣忙亂 / 一陣騷動
Week 11,mural,noun,壁畫 / 牆畫
Week 11,pewter,noun,白鑞 / 白鑞製品
Week 11,apprehensively,adverb,憂心忡忡地 / 不安地 / 擔心地 / 戰戰兢兢地
Week 11,armament,noun,軍備 / 武器裝備 / 軍火 / 武力 / 軍事力量
Week 11,blasphemy,noun,褻瀆神明的言行 / 褻瀆 / 瀆神 / 褻聖
Week 12,competence,noun,能力 / 勝任能力 / 專業能力
Week 12,dupe,verb,欺騙 / 哄騙 / 蒙騙 / 受騙者 / 傻瓜／上當的人
Week 12,essentially,adverb,基本上 / 其實說穿了 / 本質上 / 根本上 / 本質上／根本上
Week 12,fortification,noun,防禦工事 / 要塞工事 / 防禦設施 / 營養強化 / 強化添加
Week 12,furiously,adverb,憤怒地 / 氣沖沖地 / 猛烈地 / 激烈地 / 拼命地 / 憤怒地 / 氣沖沖地 / 猛烈地 / 激烈地 / 拼命地
Week 13,impostor,noun,冒名頂替者 / 冒充者 / 騙子 / 假冒者
Week 13,mercantile,adjective,商業的 / 貿易的 / 商人的
Week 13,rhetorical,adjective,修辭的 / 修辭上的 / 反問的 / 為了加強語氣的 / 誇飾的 / 反問句 / 反問的問題
Week 13,rile,verb,激怒 / 惹火 / 惹惱
Week 13,suppression,noun,壓制 / 鎮壓 / 抑制 / 查禁 / 扣押 / 隱匿
Week 14,apprentice,noun,學徒 / 見習生 / 徒弟 / 見習人員
Week 14,doorframe,noun,門框
Week 14,enrich,verb,豐富 / 充實 / 增進 / 使肥沃 / 強化營養 / 使富有
Week 14,hostility,noun,敵意 / 敵對 / 敵對行動 / 惡意 / 戰事
Week 14,improperly,adverb,不恰當地 / 不正確地 / 不妥地 / 不合規定地 / 不得體地
Week 15,ingot,noun,金屬錠 / 金錠 / 銀錠 / 錠
Week 15,arid,adjective,乾旱的 / 乾燥的 / 枯燥乏味的 / 乏味的 / 乾旱的、乾燥的 / 枯燥乏味的、乏味的
Week 15,deviation,noun,偏離 / 偏差 / 離差 / 改道 / 繞道 / 偏差、偏離、離差 / 改道、繞道
Week 15,duplicate,verb,複製 / 拷貝 / 影印 / 重製 / 製作副本 / 完全複製 / 重現
Week 15,earring,noun,耳環 / 耳釘 / 耳圈
Week 16,indistinct,adjective,模糊的 / 模糊不清的 / 不清楚的 / 不分明的 / 朦朧的 / 模糊的／模糊不清的／不清楚的
Week 16,organ,noun,器官 / 內臟器官 / 風琴 / 電子風琴 / 風琴／電子風琴
Week 16,punctuality,noun,準時 / 守時 / 準時的習慣
Week 16,ascension,noun,上升 / 升高 / 攀升 / 即位 / 登位 / 升天 / 耶穌升天 / 即位 / 登位
Week 16,curry,noun,咖哩 / 咖哩料理 / 鞣製
Week 17,inexperienced,adjective,沒有經驗的 / 缺乏經驗的 / 生手的 / 不熟練的
Week 17,mole,noun,鼴鼠 / 痣 / 間諜 / 內奸 / 間諜 / 內奸
Week 17,steward,noun,服務員 / 乘務員 / 管家 / 管理人
Week 17,timely,adjective,及時的 / 適時的 / 及時
Week 17,variance,noun,差異 / 差別 / 分歧 / 變異數
Week 18,informant,noun,線民 / 告密者 / 情報提供者 / 提供消息的人
Week 18,oppress,verb,壓迫 / 欺壓 / 迫害 / 壓制
Week 18,peephole,noun,貓眼 / 窺視孔 / 門鏡
Week 18,plaything,noun,玩具 / 玩物 / 被玩弄的人 / 工具人般的玩物
Week 18,theology,noun,神學 / 宗教學理中的神學部分
Week 19,whitish,adjective,泛白的 / 發白的 / 微白的 / 灰白色的
Week 19,heinous,adjective,極其惡劣的 / 滔天的 / 滔天罪行 / 令人髮指的 / 喪盡天良的
Week 19,nondescript,adjective,平凡無奇的 / 不起眼的 / 毫無特色的 / 乏善可陳的
Week 19,pileup,noun,連環車禍 / 連環追撞 / 堆積 / 積壓
Week 19,reprehensible,adjective,應受譴責的 / 應受責難的 / 卑劣的 / 可鄙的
Week 20,well-dressed,adjective,穿著體面的 / 穿著講究的 / 衣著整齊的
