week,word,pos,clue
Week 1,elegance,noun,優雅 / 典雅 / 高雅 / 雅致
Week 1,unqualified,adjective,不合格的 / 沒有資格的 / 不具資格的 / 未取得資格的 / 完全的 / 絕對的 / 無保留的
Week 1,artefact,noun,人工製品 / 文物 / 古器物 / 法器
Week 1,commitment,noun,承諾 / 責任 / 義務 / 投入 / 奉獻 / 承諾／責任／義務 / 投入／奉獻
Week 1,conceptual,adjective,概念性的 / 觀念上的 / 理論性的
Week 1,curriculum,noun,課程 / 課程綱要 / 課綱
Week 1,fulfilment,noun,實現 / 達成 / 履行 / 滿足感 / 成就感 / 實現、達成、履行 / 滿足感、成就感、充實感
Week 1,introductory,adjective,介紹性的 / 入門的 / 初步的 / 導論的
Week 1,junior,adjective,年紀較小的 / 年少的 / 資淺的 / 初級的 / 低年級的 / 小 / 國中
Week 1,memorization,noun,背誦 / 記憶 / 死記硬背 / 熟記
Week 1,periodic,adjective,週期性的 / 定期的 / 間歇性的
Week 1,abandonment,noun,拋棄 / 遺棄 / 放棄 / 被拋棄感
Week 1,addiction,noun,成癮 / 上癮 / 癮 / 毒癮
Week 2,adolescent,noun,青少年 / 青春期少年 / 青春期孩子
Week 2,amulet,noun,護身符 / 避邪物 / 符咒飾物
Week 2,assertion,noun,斷言 / 主張 / 聲稱 / 強硬宣稱 / 主張、聲稱 / 斷言、強硬宣稱
Week 2,atrocious,adjective,糟透的 / 極差的 / 駭人的 / 殘暴的 / 殘暴的、駭人的
Week 2,authoritative,adjective,權威的 / 有權威的 / 官方的 / 有權力的 / 很有威嚴的 / 很有分量的
Week 2,awash,adjective,被水淹沒的 / 淹滿水的 / 充斥著…的 / 充滿…的 / 充斥著、充滿
Week 2,awe,noun,敬畏 / 驚嘆 / 讚嘆
Week 2,bamboozle,verb,欺騙 / 唬弄 / 耍得團團轉 / 搞糊塗
Week 2,cadaver,noun,屍體 / 遺體 / 大體
Week 2,charlatan,noun,騙子 / 江湖騙子 / 冒牌專家 / 招搖撞騙的人
Week 2,childbirth,noun,分娩 / 生產 / 生孩子
Week 2,cholera,noun,霍亂
Week 3,clairvoyant,adjective,有透視能力的 / 有千里眼能力的 / 有靈視能力的 / 有預知能力的 / 有洞察力的 / 有先見之明的
Week 3,communist,noun,共產主義者 / 共產黨員
Week 3,competence,noun,能力 / 勝任能力 / 專業能力
Week 3,cosmic,adjective,宇宙的 / 太空的 / 極大的 / 驚人的 / 超誇張的
Week 3,countermeasure,noun,對策 / 應對措施 / 反制措施 / 防範措施
Week 3,diagnose,verb,診斷 / 查明 / 判定問題
Week 3,diagnosis,noun,診斷 / 診斷結果 / 判斷 / 問題診斷 / 判斷、診斷、問題分析
Week 3,doubtless,adverb,無疑地 / 想必 / 大概 / 八成
Week 3,ecological,adjective,生態的 / 生態學的 / 環保的
Week 3,enlightenment,noun,啟蒙 / 啟發 / 開悟 / 覺悟 / 啟蒙時代
Week 3,equality,noun,平等 / 平權 / 均等
Week 3,erosion,noun,侵蝕 / 沖蝕 / 腐蝕 / 流失
Week 4,expectancy,noun,期待 / 預期 / 期盼 / 預期壽命 / 平均壽命
Week 4,exponential,adjective,指數的 / 指數型的 / 指數型成長的 / 爆炸性成長的 / 急遽增加的
Week 4,extraterrestrial,adjective,地球外的 / 外星的 / 來自外星的 / 外星人 / 外星的 / 地球外的
Week 4,fission,noun,核分裂 / 分裂 / 裂變
Week 4,foetal,adjective,胎兒的 / 胎生期的
Week 4,genealogy,noun,家譜 / 家世淵源 / 家譜學 / 譜系學
Week 4,genie,noun,精靈 / 神燈精靈 / 妖靈
Week 4,germ,noun,病菌 / 細菌 / 微生物 / 病原體 / 萌芽 / 雛形
Week 4,glum,adjective,悶悶不樂的 / 沮喪的 / 愁眉苦臉的
Week 4,good-natured,adjective,脾氣好的 / 和善的 / 隨和的 / 好脾氣的
Week 4,gospel,noun,福音 / 福音書 / 福音音樂 / 真理 / 不容置疑的真理
Week 4,gulf,noun,海灣 / 鴻溝 / 巨大差距
Week 5,gullibility,noun,輕信 / 容易受騙 / 易受騙
Week 5,gullible,adjective,容易受騙的 / 輕信的 / 好騙的
Week 5,harbour,noun,港口 / 港灣 / 避風港 / 庇護所 / 懷恨 / 怨恨
Week 5,high-resolution,adjective,高解析度的 / 高畫質的 / 高解像度的 / 高解析度 / 高精細的
Week 5,hypodermic,adjective,皮下的 / 皮下注射的 / 皮下注射針的 / 皮下注射針
Week 5,illness,noun,疾病 / 生病 / 病 / 病症
