week,word,pos,clue
Week 1,alarm,noun,警報 / 警鈴 / 鬧鐘 / 驚慌 / 驚恐
Week 1,annoy,verb,惹惱 / 使……心煩 / 打擾 / 惹人厭
Week 1,assign,verb,指派 / 派給 / 分配 / 指定 / 布置
Week 1,basement,noun,地下室 / 地下樓層 / 地庫
Week 1,basketball,noun,籃球
Week 1,chart,noun,圖表 / 表格 / 圖 / 海圖 / 航圖 / 圖表、表格 / 海圖、航圖
Week 1,cheerio,interjection,再見 / 掰掰 / 哈囉 / 嗨
Week 1,cheese,noun,起司 / 起士 / 乳酪
Week 1,court,noun,法院 / 法庭 / 宮廷 / 朝廷 / 球場 / 法院 / 法庭 / 宮廷 / 朝廷
Week 1,curtain,noun,窗簾 / 門簾 / 布幕 / 舞台布幕 / 幕 / 舞台布幕 / 幕
Week 1,dear,adjective,親愛的 / 心愛的 / 昂貴的 / 貴的 / 哎呀 / 糟了
Week 1,expect,verb,預期 / 預料 / 期待 / 認為…會 / 要求 / 指望 / 預期 / 預料
Week 1,expectation,noun,預期 / 期待 / 期望 / 期許
Week 1,extra,adjective,額外的 / 另外的 / 多餘的 / 加的 / 臨時演員
Week 1,handy,adjective,方便的 / 好用的 / 手邊的 / 手巧的 / 方便的 / 好用的 / 手邊的
Week 1,journal,noun,日記 / 日誌 / 期刊 / 學術期刊
Week 1,locker,noun,置物櫃 / 寄物櫃 / 船閘操作員 / 置物櫃／寄物櫃 / 船閘相關的人或裝置 / lock in canal = 船閘 / 船閘
Week 1,low,adjective,低的 / 矮的 / 低沉的 / 微弱的 / 少的 / 消沉的 / 沮喪的
Week 1,nasty,adjective,討厭的 / 惡劣的 / 刻薄的 / 噁心的 / 嚴重的
Week 1,phys,noun,物理 / 物理課
Week 1,racket,noun,球拍 / 拍子 / 吵鬧聲 / 喧鬧聲 / 非法勾當 / 詐騙勾當 / 吵鬧聲／喧鬧聲 / 非法勾當／詐騙勾當
Week 1,screw,noun,螺絲 / 螺絲釘 / 螺釘 / 旋緊、鎖緊 / 坑害、整慘
Week 1,stress,noun,壓力 / 緊張 / 重音 / emphasize = 強調 / 動詞 / 強調
Week 2,tag,noun,標籤 / 吊牌 / 標示牌 / 價籤 / 名牌 / 鬼抓人
Week 2,tight,adjective,緊的 / 緊身的 / 牢固的 / 密的 / 密封的 / 擠的 / 狹窄的 / 拮据的 / 吃緊的
Week 2,appreciate,verb,感激 / 感謝 / 領會 / 欣賞 / 增值 / 升值 / 領會／體會／明白其價值 / 增值／升值
Week 2,backfire,verb,適得其反 / 產生反效果 / 弄巧成拙 / 回火 / 逆火爆響
Week 2,blubber,verb,號啕大哭 / 哭哭啼啼 / 抽抽搭搭地哭 / 抽噎 / 嗚嗚大哭 / 鯨脂
Week 2,bubby,noun,寶貝 / 親愛的 / 奶奶／外婆
Week 2,cd,noun,光碟 / 唱片光碟 / 定期存單
Week 2,crank,noun,曲柄 / 手搖柄 / 怪人 / 偏執狂 / 用曲柄轉動 / 轉動
Week 2,deserve,verb,值得 / 應得 / 活該 / 應受
Week 2,evil,adjective,邪惡的 / 惡毒的 / 有害的 / 邪惡的 / 惡毒的
Week 2,head-to-head,adjective,正面對決的 / 直接競爭的 / 面對面的 / 一對一對上的 / 桌子面對面擺放。
