week,word,pos,clue
Week 1,disqualify,verb,取消……資格 / 使喪失資格 / 使不適合 / 使不能勝任 / 取消資格 / 使不適合 / 使不能勝任
Week 1,ethical,adjective,合乎道德的 / 道德上的 / 倫理的 / 符合倫理規範的
Week 1,journalist,noun,記者 / 新聞工作者 / 媒體記者
Week 1,capstone,noun,頂石 / 壓頂石 / 集大成之作 / 總結成果
Week 1,dimple,noun,酒窩 / 臉頰上的小凹窩 / 凹痕 / 小凹洞 / 凹痕 / 小凹洞
Week 1,independently,adverb,獨立地 / 自主地 / 單獨地 / 靠自己地 / 各自地
Week 1,thesis,noun,論文 / 學位論文 / 論點 / 中心論點 / 主旨
Week 1,corroborate,verb,證實 / 佐證 / 印證 / 支持 / 加強 / 強化
Week 1,deem,verb,認為 / 視為 / 認定 / 判定
Week 1,footage,noun,影片畫面 / 影片素材 / 錄影畫面 / 影像資料 / 長度 / 以英尺計的長度
Week 2,forensic,adjective,鑑識的 / 法醫的 / 司法鑑定的
Week 2,homicide,noun,殺人 / 殺人案 / 命案 / 他殺 / 殺人者
Week 2,seventeen-year-old,adjective,十七歲的 / 年僅十七歲的 / 十七歲少年／少女
Week 2,cautionary,adjective,警示的 / 警告性的 / 勸誡的 / 引以為戒的
Week 2,graphic,adjective,生動逼真的 / 露骨的 / 血腥露骨的
Week 2,logistics,noun,後勤 / 物流 / 籌備安排 / 實務安排 / 籌備安排 / 實務安排
Week 2,nine-year-old,adjective,九歲的 / 九歲大 / 九歲左右的
Week 2,poo,noun,大便 / 便便 / 屎
Week 2,abduction,noun,綁架 / 誘拐 / 擄走 / 帶走 / 綁架 / 誘拐 / 帶走 / 擄走
Week 3,alibi,noun,不在場證明 / 不在場的證據 / 託詞
Week 3,circumstantial,adjective,視情況而定的 / 依情況的 / 詳盡的 / 詳細的 / 間接的 / 基於旁證的 / 間接證據 / 旁證
Week 3,elastic,adjective,有彈性的 / 鬆緊的 / 可伸縮的 / 有彈性的／可伸縮的 / 有彈性的／靈活的
Week 3,guesswork,noun,猜測 / 臆測 / 瞎猜
Week 3,initiate,verb,開始 / 發起 / 啟動 / 著手進行 / 使加入 / 吸收加入 / 傳授入門知識給……
Week 3,jury,noun,陪審團 / 評審團 / 評審委員會
Week 3,max,noun,麥斯 / 最大值 / 最大量 / 上限
Week 3,residential,adjective,住宅區的 / 居住的 / 住宅的
Week 3,spokeswoman,noun,女發言人 / 女性發言人 / 女 spokesperson
Week 3,acceptance,noun,接受 / 接納 / 認可 / 同意 / 錄取 / 受理 / 接受 / 接納
Week 4,duvet,noun,羽絨被 / 棉被 / 被子
Week 4,king-size,adjective,特大號的 / 加大尺寸的 / 特大床尺寸的
Week 4,mend,verb,修補 / 修理 / 縫補 / 修復 / 改善
Week 4,wade,verb,涉水而行 / 蹚水而過 / 跋涉 / 艱難前進 / 費力處理 / 埋頭苦讀／苦苦看完
Week 4,assumption,noun,假設 / 假定 / 認定 / 承擔 / 就任
Week 4,ex-boyfriend,noun,前男友 / 以前的男朋友
Week 4,inconsistency,noun,不一致 / 前後矛盾 / 不穩定 / 出入
Week 4,investigator,noun,調查員 / 偵查員 / 辦案人員 / 研究調查人員
Week 4,kinda,adverb,有點 / 有一點 / 算是 / 有點像
Week 5,motivate,verb,激勵 / 激發 / 促使 / 成為……的動機 / 激勵 / 激發 / 促使 / 成為動機
Week 5,murderer,noun,殺人犯 / 謀殺犯
Week 5,potentially,adverb,可能地 / 有可能 / 可能會 / 潛在地
Week 5,seclude,verb,隔離 / 使與世隔絕 / 隱居於 / 幽居 / 隱居
Week 5,sexually,adverb,在性方面 / 透過性行為地 / 在兩性特徵上 / 性地
Week 5,yep,interjection,對啊 / 是啊 / 嗯啊 / 沒錯
Week 5,grieve,verb,悲傷 / 哀悼 / 傷心 / 悲痛 / 使悲傷 / 使難過
Week 5,minority,noun,少數 / 少數派 / 少數族群 / 少數民族
Week 5,comedy,noun,喜劇 / 喜劇作品 / 趣事 / 笑話般的事
Week 5,insomnia,noun,失眠 / 睡不著
Week 6,shit,noun,大便 / 糞便 / 屁話 / 麻煩 / 東西
Week 6,suicidal,adjective,想自殺的 / 有自殺傾向的 / 自殺性的 / 極度危險的 / 幾乎等於去送死的任務
Week 6,upbeat,adjective,樂觀的 / 開朗的 / 振奮的 / 輕快的 / 活潑的 / 節奏輕快的 / 明快的
Week 6,foia,noun,資訊自由法 / 資訊公開法
Week 6,ongoing,adjective,持續進行的 / 持續的 / 仍在進行中的 / 未結束的
Week 6,texting,noun,傳簡訊 / 傳訊息 / 發訊息
Week 6,infer,verb,推斷 / 推論 / 推知 / 暗示
Week 6,demise,noun,死亡 / 身故 / 逝世 / 終結 / 衰亡 / 垮台 / 瓦解
Week 6,ignite,verb,點燃 / 引燃 / 引發 / 激起
Week 7,ap,noun,大學先修課程 / 美聯社 / AP / 大學先修課程
Week 7,definition,noun,定義 / 界定 / 釋義
Week 7,interviewer,noun,面試官 / 主考官 / 採訪者 / 訪問者 / 訪談者
Week 7,overreact,verb,反應過度 / 反應太大 / 小題大作 / 太激動
Week 7,semester,noun,學期 / 上學期 / 下學期
Week 7,sophomore,noun,二年級生 / 高中二年級生 / 大學二年級生 / 自以為懂很多但其實幼稚的人
Week 7,accurately,adverb,準確地 / 精確地 / 如實地
Week 7,allergic,adjective,過敏的 / 對……過敏 / 過敏體質的 / 反感的 / 很排斥……的
Week 7,awareness,noun,認知 / 意識 / 察覺 / 警覺
Week 7,far-fetched,adjective,牽強的 / 難以置信的 / 不切實際的 / 離譜的
Week 8,icon,noun,圖示 / 圖標 / 聖像 / 偶像 / 代表人物 / 象徵 / 圖示／圖標 / 偶像／代表人物／象徵
Week 8,implicate,verb,牽連 / 牽涉 / 暗示有罪 / 使牽涉其中 / 涉及
Week 8,inconsistent,adjective,不一致的 / 前後矛盾的 / 反覆無常的 / 不穩定的
Week 8,motive,noun,動機 / 原因 / 動力
Week 8,perpetrator,noun,犯案者 / 加害者 / 作案人 / 肇事者
Week 8,resistance,noun,抵抗 / 反抗 / 抗拒 / 阻力 / 電阻 / 抵抗／反抗 / 阻力／電阻
Week 8,supposedly,adverb,據說 / 聽說 / 據稱 / 理應
Week 8,theoretical,adjective,理論上的 / 理論性的 / 純理論的 / 不切實際的 / 紙上談兵的
Week 8,transcribe,verb,抄錄 / 轉錄 / 抄寫 / 謄寫
Week 9,addict,noun,成癮者 / 癮君子 / 吸毒者 / 著迷的人 / 狂熱愛好者 / 成癮者 / 癮君子 / 吸毒者 / 著迷的人 / 狂熱愛好者
Week 9,destructive,adjective,破壞性的 / 有害的 / 毀滅性的
Week 9,hospitalize,verb,使住院 / 送醫住院 / 住院治療 / 使大受打擊 / 使崩潰
Week 9,orbit,noun,軌道 / 運行軌道 / 勢力範圍 / 影響圈 / 勢力範圍 / 影響圈
Week 9,self-esteem,noun,自尊心 / 自我價值感 / 自尊
Week 9,tormentor,noun,折磨人的人 / 欺負人的人 / 施虐者 / 折磨者
Week 9,divorce,noun,離婚 / 婚姻解除 / 脫離 / 分離 / 割裂 / 分離／割裂
Week 9,exclusive,adjective,專用的 / 專屬的 / 獨家的 / 限定的 / 高級的 / 排外的 / 唯一的
Week 9,mellow,adjective,溫和的 / 柔和的 / 醇厚的 / 圓潤的 / 成熟穩重的
Week 9,virgin,noun,處女 / 處男 / 未曾有性經驗的人 / 未經開發的事物/土地 / 原始未使用的
Week 10,beer,noun,啤酒 / 生啤酒 / 黑啤酒
Week 10,crinkle,verb,起皺 / 皺起來 / 捲曲起皺 / 發出沙沙聲 / 窸窣作響
Week 10,distort,verb,扭曲 / 變形 / 使變形 / 歪曲 / 曲解 / 扭曲事實
Week 10,enclosure,noun,圍欄 / 圍場 / 圍起來的地方 / 附件 / 附上物 / 圍欄 / 圍牆
Week 10,guffaw,noun,大笑 / 哄堂大笑 / 放聲大笑 / 哈哈大笑
Week 10,peach,noun,桃子 / 桃 / 美人 / 好人兒 / 好東西
Week 10,periphery,noun,外圍 / 邊緣 / 周邊地區 / 邊陲地區 / 外緣
Week 10,preschool,noun,幼兒園 / 學前教育 / 學齡前 / 學齡前兒童
Week 10,printer,noun,印表機 / 印刷機
Week 11,pun,noun,雙關語 / 雙關 / 諧音雙關 / 廢物 / 小人物
Week 11,rectangular,adjective,長方形的 / 呈長方形的
Week 11,seven-thirty,number,七點半 / 七點三十分 / 七點半鐘
Week 11,unbelievable,adjective,難以置信的 / 不可信的 / 不可思議的 / 驚人的 / 超棒的 / not believable / 不可信的 / amazing / 超棒的 / 驚人的
Week 11,underfoot,adverb,在腳下 / 在地上 / 礙手礙腳 / 礙事
Week 11,vodka,noun,伏特加
Week 11,wilt,verb,枯萎 / 萎凋 / 蔫掉 / 萎靡 / 氣勢弱下來
Week 11,haunting,noun,鬧鬼 / 鬼魂出沒 / 揮之不去的感覺 / 令人難忘又縈繞心頭的 / 揮之不去的
Week 11,how-to,adjective,教學用的 / 操作指南的 / 實用指導的 / 步驟教學的 / 教人怎麼做的
Week 11,jr,noun,小用於姓名後表示小某某 / 小名同父者小某某 / 小老約翰小約翰依姓名翻譯
Week 12,pointless,adjective,無意義的 / 沒意義的 / 白費的 / 徒勞的
Week 12,sec,noun,"秒 / 一秒 / 一會兒 / 一下 / 一會兒, 一下"
Week 12,sloppy,adjective,邋遢的 / 馬虎的 / 草率的 / 凌亂的 / 稀爛的 / 濕糊糊的 / 糊糊的
Week 12,trawl,verb,拖網捕魚 / 用拖網捕撈 / 廣泛搜尋 / 仔細翻找 / 搜尋遍 / 翻查 / 大量搜尋
Week 12,tutor,noun,家教老師 / 家教 / 私人教師 / 導師 / 家教老師、家教、私人教師
Week 12,wireless,adjective,無線的 / 無線傳輸的 / 無線電的 / 收音機 / 無線電
Week 12,asshole,noun,肛門 / 混蛋 / 王八蛋 / 爛人
Week 12,policy,noun,政策 / 規定 / 方針 / 處事原則 / 保單
Week 12,recommendation,noun,建議 / 提議 / 推薦 / 推薦信 / 推薦函 / 建議／提議 / 推薦／推薦信／推薦函
Week 13,thorough,adjective,徹底的 / 仔細的 / 全面的
Week 13,unsavory,adjective,令人反感的 / 令人不快的 / 名聲不好的 / 不道德的 / 難吃的 / 令人反感的 / 令人不快的 / 不道德的 / 名聲不好的
Week 13,flirty,adjective,愛打情罵俏的 / 愛調情的 / 輕佻的 / 曖昧挑逗的
Week 13,incestuous,adjective,亂倫的 / 近親亂倫的 / 關係過於封閉的
Week 13,nat,noun,小飛蟲 / 小蚋 / 蚋
Week 13,piss,noun,尿 / 尿液
Week 13,sex,noun,性別 / 性 / 男女 / 性行為 / 性生活 / 性事
Week 13,undress,verb,脫衣服 / 脫去衣物 / 寬衣
Week 13,fuck,verb,性交 / 上床 / 搞砸 / 毀掉 / 性交／上床 / 搞砸／毀掉 / 滾開 / 糟透了／有毛病的／搞砸了
Week 13,hardware,noun,硬體 / 五金 / 五金器具
Week 14,interrogation,noun,審問 / 訊問 / 盤問
Week 14,sister-in-law,noun,嫂嫂 / 大嫂 / 弟媳 / 妯娌
Week 14,slab,noun,厚板 / 石板 / 混凝土板 / 一大塊 / 厚板 / 石板 / 一大塊
Week 14,cross-reference,verb,交叉參照 / 互相參照 / 參照 / 比對 / 對照查核 / 參照 / 比對 / 提供交叉參照
Week 14,hillside,noun,山坡 / 山腰斜坡
Week 14,rape,noun,強暴 / 性侵 / 強姦 / 油菜
Week 14,cite,verb,引用 / 引述 / 舉出 / 提到 / 傳喚 / 開單舉發 / 表揚
Week 14,curfew,noun,宵禁 / 晚歸時間限制 / 宵禁鐘 / 宵禁信號
Week 14,email,noun,電子郵件 / 電子信件 / 電郵 / 電子郵件系統
Week 15,evasive,adjective,閃爍其詞的 / 迴避的 / 支吾其詞的 / 躲躲閃閃的 / 逃避的
Week 15,exemption,noun,豁免 / 免除 / 免試 / 免役 / 免繳 / 免稅額 / 免稅項目
Week 15,nineteenth,number,第十九 / 十九分之一
Week 15,nuance,noun,細微差異 / 微妙差別 / 細膩之處 / 微妙特質 / 細微差異 / 微妙差別 / 微妙特質 / 細膩之處
Week 15,partial,adjective,部分的 / 局部的 / 不完全的 / 偏袒的 / 偏心的 / 有偏見的 / partial to + 人/事物
Week 15,statute,noun,法令 / 法律 / 成文法
Week 15,transcript,noun,逐字稿 / 文字記錄 / 謄本 / 成績單 / 逐字稿／文字記錄
Week 15,flake,noun,薄片 / 碎片 / 雪花 / 片狀小塊 / 不可靠的人 / 怪人 / 怪咖 / 不可靠 / 很會放人鴿子
Week 15,intrude,verb,闖入 / 侵入 / 打擾 / 干涉 / 侵犯
