"week","word","pos","clue","syllable_count","syllable_division"
"Week 1","hello","","你好 (ㄋㄧˇ ㄏㄠˇ)","2","hel-lo"
"Week 1","hi","","嗨 (ㄏㄞ)","1","hi"
"Week 1","bye","","再見 (ㄗㄞˋ ㄐㄧㄢˋ)","1","bye"
"Week 1","goodbye","","再見 (ㄗㄞˋ ㄐㄧㄢˋ)","2","good-bye"
"Week 1","one","","一 (ㄧ)","1","one"
"Week 1","two","","二 (ㄦˋ)","1","two"
"Week 1","three","","三 (ㄙㄢ)","1","three"
"Week 1","four","","四 (ㄙˋ)","1","four"
"Week 1","five","","五 (ㄨˇ)","1","five"
"Week 1","six","","六 (ㄌㄧㄡˋ)","1","six"
"Week 1","seven","","七 (ㄑㄧ)","2","sev-en"
"Week 1","eight","","八 (ㄅㄚ)","1","eight"
"Week 1","nine","","九 (ㄐㄧㄡˇ)","1","nine"
"Week 1","ten","","十 (ㄕˊ)","1","ten"
"Week 2","crayon","","蠟筆 (ㄌㄚˋ ㄅㄧˇ)","2","cray-on"
"Week 2","eraser","","橡皮擦 (ㄒㄧㄤˋ ㄆㄧˊ ㄘㄚ)","3","e-ras-er"
"Week 2","ruler","","尺 (ㄔˇ)","2","rul-er"
"Week 2","pencil","","鉛筆 (ㄑㄧㄢ ㄅㄧˇ)","2","pen-cil"
"Week 2","book","","書 (ㄕㄨ)","1","book"
"Week 2","pencil case","","鉛筆盒 (ㄑㄧㄢ ㄅㄧˇ ㄏㄜˊ)","3","pen-cil case"
"Week 2","pen","","筆 (ㄅㄧˇ)","1","pen"
"Week 2","chair","","椅子 (ㄧˇ ㄗ˙)","1","chair"
"Week 2","desk","","書桌 (ㄕㄨ ㄓㄨㄛ)","1","desk"
"Week 2","door","","門 (ㄇㄣˊ)","1","door"
"Week 2","window","","窗戶 (ㄔㄨㄤ ㄏㄨˋ)","2","win-dow"
"Week 2","computer","","電腦 (ㄉㄧㄢˋ ㄋㄠˇ)","3","com-put-er"
"Week 3","pink","","粉紅色 (ㄈㄣˇ ㄏㄨㄥˊ ㄙㄜˋ)","1","pink"
"Week 3","blue","","藍色 (ㄌㄢˊ ㄙㄜˋ)","1","blue"
"Week 3","yellow","","黃色 (ㄏㄨㄤˊ ㄙㄜˋ)","2","yel-low"
"Week 3","orange","","橘色 (ㄐㄩˊ ㄙㄜˋ)","2","or-ange"
"Week 3","red","","紅色 (ㄏㄨㄥˊ ㄙㄜˋ)","1","red"
"Week 3","purple","","紫色 (ㄗˇ ㄙㄜˋ)","2","pur-ple"
"Week 3","brown","","咖啡色 (ㄎㄚ ㄈㄟ ㄙㄜˋ)","1","brown"
"Week 3","green","","綠色 (ㄌㄩˋ ㄙㄜˋ)","1","green"
"Week 3","circle","","圓形 (ㄩㄢˊ ㄒㄧㄥˊ)","2","cir-cle"
"Week 3","square","","正方形 (ㄓㄥˋ ㄈㄤ ㄒㄧㄥˊ)","1","square"
"Week 3","triangle","","三角形 (ㄙㄢ ㄐㄧㄠˇ ㄒㄧㄥˊ)","3","tri-an-gle"
"Week 3","heart","","心形 (ㄒㄧㄣ ㄒㄧㄥˊ)","1","heart"
"Week 3","rectangle","","長方形 (ㄔㄤˊ ㄈㄤ ㄒㄧㄥˊ)","3","rec-tan-gle"
"Week 3","star","","星形 (ㄒㄧㄥ ㄒㄧㄥˊ)","1","star"
"Week 4","grandma","","奶奶 / 外婆 (ㄋㄞˇ ㄋㄞ˙ / ㄨㄞˋ ㄆㄛˊ)","2","grand-ma"
"Week 4","dad","","爸爸 (ㄅㄚˋ ㄅㄚ˙)","1","dad"
"Week 4","mom","","媽媽 (ㄇㄚ ㄇㄚ˙)","1","mom"
"Week 4","brother","","兄弟 (ㄒㄩㄥ ㄉㄧˋ)","2","broth-er"
"Week 4","grandpa","","爺爺 / 外公 (ㄧㄝˊ ㄧㄝ˙ / ㄨㄞˋ ㄍㄨㄥ)","2","grand-pa"
"Week 4","sister","","姐妹 (ㄐㄧㄝˇ ㄇㄟˋ)","2","sis-ter"
"Week 4","bedroom","","臥室 (ㄨㄛˋ ㄕˋ)","2","bed-room"
"Week 4","living room","","客廳 (ㄎㄜˋ ㄊㄧㄥ)","3","liv-ing room"
"Week 4","dining room","","飯廳 (ㄈㄢˋ ㄊㄧㄥ)","3","din-ing room"
"Week 4","kitchen","","廚房 (ㄔㄨˊ ㄈㄤˊ)","2","kitch-en"
"Week 4","bathroom","","浴室 (ㄩˋ ㄕˋ)","2","bath-room"
"Week 5","ball","","球 (ㄑㄧㄡˊ)","1","ball"
"Week 5","doll","","娃娃 (ㄨㄚˊ ㄨㄚ˙)","1","doll"
"Week 5","teddy bear","","泰迪熊 (ㄊㄞˋ ㄉㄧˊ ㄒㄩㄥˊ)","3","ted-dy bear"
"Week 5","scooter","","滑板車 (ㄏㄨㄚˊ ㄅㄢˇ ㄔㄜ)","2","scoot-er"
"Week 5","puzzle","","拼圖 (ㄆㄧㄣ ㄊㄨˊ)","2","puz-zle"
"Week 5","car","","車 (ㄔㄜ)","1","car"
"Week 5","bike","","自行車 (ㄗˋ ㄒㄧㄥˊ ㄔㄜ)","1","bike"
"Week 5","kite","","風箏 (ㄈㄥ ㄓㄥ)","1","kite"
